name,gender,nom_category,year
Joseph L. Mankiewicz,male,"Writing, Original Screenplay",1951
Emeric Pressburger,male,"Writing, Original Screenplay",1943
Gloria Katz,female,"Writing, Original Screenplay",1974
Owen Wilson,male,"Writing, Original Screenplay",2002
Lawrence Kasdan,male,"Writing, Original Screenplay",1992
Richard LaGravenese,male,"Writing, Original Screenplay",1992
Cameron Crowe,male,"Writing, Original Screenplay",2001
Cameron Crowe,male,"Writing, Original Screenplay",1997
Philip Yordan,male,"Writing, Original Screenplay",1946
Tony Gilroy,male,"Writing, Original Screenplay",2008
Colin Welland,male,"Writing, Original Screenplay",1982
Danièle Thompson,female,"Writing, Original Screenplay",1977
Melissa Mathison,female,"Writing, Original Screenplay",1983
Muriel Box,female,"Writing, Original Screenplay",1947
Susannah Grant,female,"Writing, Original Screenplay",2001
Grigori Chukhrai,male,"Writing, Original Screenplay",1962
Anne Spielberg,female,"Writing, Original Screenplay",1989
Walter Newman,male,"Writing, Original Screenplay",1952
"D. M. Marshman, Jr.",male,"Writing, Original Screenplay",1951
George Wells,male,"Writing, Original Screenplay",1958
Michael Craig,male,"Writing, Original Screenplay",1961
Guillermo Arriaga,male,"Writing, Original Screenplay",2007
Vasco Pratolini,male,"Writing, Original Screenplay",1964
Dudley Nichols,male,"Writing, Original Screenplay",1944
Dudley Nichols,male,"Writing, Original Screenplay",1958
Robert Towne,male,"Writing, Original Screenplay",1975
Robert Towne,male,"Writing, Original Screenplay",1976
Charles Crichton,male,"Writing, Original Screenplay",1989
Bob Peterson,male,"Writing, Original Screenplay",2010
Bob Peterson,male,"Writing, Original Screenplay",2004
Edward Bond,male,"Writing, Original Screenplay",1967
Simon Beaufoy,male,"Writing, Original Screenplay",1998
Carl Foreman,male,"Writing, Original Screenplay",1951
Carl Foreman,male,"Writing, Original Screenplay",1973
Robert C. Jones,male,"Writing, Original Screenplay",1979
James Toback,male,"Writing, Original Screenplay",1992
Frederic Raphael,male,"Writing, Original Screenplay",1966
Frederic Raphael,male,"Writing, Original Screenplay",1968
Jan Pinkava,male,"Writing, Original Screenplay",2008
Ira Wallach,male,"Writing, Original Screenplay",1969
Pierre Uytterhoeven,male,"Writing, Original Screenplay",1967
Pierre Uytterhoeven,male,"Writing, Original Screenplay",1976
